
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5676785111427307,0.9319537878036499,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05263157933950424,-1.0,0.8711632490158081
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6989127397537231,0.9358636736869812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02222222276031971,-1.0,0.9518485069274902
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8672990202903748,0.9515601396560669,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03703703731298447,-1.0,0.9627179503440857
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7538105249404907,0.9314481616020203,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.043478261679410934,-1.0,0.981421709060669
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9427778720855713,0.8725967407226562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03333333507180214,-1.0,0.9905112385749817
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8521543145179749,0.846412718296051,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03999999910593033,-1.0,0.9947680830955505
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8476397395133972,0.8116529583930969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02777777798473835,-1.0,0.9684142470359802
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9245880842208862,0.9203155040740967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0555555559694767,-1.0,0.9809507131576538
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8527011871337891,0.9528025388717651,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03125,-1.0,0.9866642355918884
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8665791749954224,0.9433437585830688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.9911578893661499
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.932595431804657,0.9689104557037354,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.027027027681469917,-1.0,0.9870314598083496
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9049208164215088,0.9762020707130432,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.025641025975346565,-1.0,0.9798793792724609
