
0.03703703731298447,-1.0,-1.0,-1.0,0.3333333432674408,0.1269841343164444,0.8865880966186523,-1.0,0.967286229133606,-1.0,-1.0,-1.0,-1.0,0.1428571492433548,-1.0,0.9062813520431519,-1.0,0.125,-1.0,-1.0
0.05882352963089943,-1.0,-1.0,-1.0,0.0714285746216774,0.1458333283662796,0.4917548596858978,-1.0,0.9430623650550842,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.9681262969970703,-1.0,0.03333333507180214,-1.0,-1.0
0.03448275849223137,-1.0,-1.0,-1.0,0.3333333432674408,0.2678571343421936,0.769050657749176,-1.0,0.9760397672653198,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.92254239320755,-1.0,0.03703703731298447,-1.0,-1.0
0.0625,-1.0,-1.0,-1.0,0.5,0.1736111044883728,0.7021164298057556,-1.0,0.9887593388557434,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,-1.0,0.9579699039459229,-1.0,0.03703703731298447,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,1.0,0.36666667461395264,0.7155272364616394,-1.0,0.8550688028335571,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,-1.0,0.9544057846069336,-1.0,0.5,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,0.09090909361839294,0.20370370149612427,0.6333293914794922,-1.0,0.8403439521789551,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9233084917068481,-1.0,0.3333333432674408,-1.0,-1.0
0.5,-1.0,-1.0,-1.0,0.5,0.3333333432674408,0.71181321144104,-1.0,0.9322040677070618,-1.0,-1.0,-1.0,-1.0,0.1428571492433548,-1.0,0.9417439103126526,-1.0,0.3333333432674408,-1.0,-1.0
0.5,-1.0,-1.0,-1.0,1.0,0.24358974397182465,0.7226016521453857,-1.0,0.9792506694793701,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.9357435703277588,-1.0,0.5,-1.0,-1.0
0.5,-1.0,-1.0,-1.0,0.125,0.2083333283662796,0.62872314453125,-1.0,0.965732216835022,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,-1.0,0.9782623052597046,-1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,1.0,0.30000001192092896,0.5469613671302795,-1.0,0.9866081476211548,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9502736926078796,-1.0,0.5,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,1.0,0.28999999165534973,0.6592981815338135,-1.0,0.9890642166137695,-1.0,-1.0,-1.0,-1.0,0.0476190485060215,-1.0,0.9847791790962219,-1.0,1.0,-1.0,-1.0
0.5,-1.0,-1.0,-1.0,1.0,0.30263158679008484,0.6950998306274414,-1.0,0.9707334041595459,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.9649929404258728,-1.0,0.5,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,1.0,0.2857142984867096,0.7228605151176453,-1.0,0.979926586151123,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.97709059715271,-1.0,1.0,-1.0,-1.0
0.5,-1.0,-1.0,-1.0,0.09090909361839294,0.5833333134651184,0.7454545497894287,-1.0,0.9864221215248108,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,-1.0,0.9806432127952576,-1.0,1.0,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,1.0,0.2844827473163605,0.8125272393226624,-1.0,0.9970961809158325,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9598793983459473,-1.0,0.3333333432674408,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,0.0476190485060215,0.5454545617103577,0.7003828883171082,-1.0,0.9864221215248108,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9676777124404907,-1.0,1.0,-1.0,-1.0
0.05000000074505806,-1.0,-1.0,-1.0,1.0,0.4166666567325592,0.7938151359558105,-1.0,0.9758062362670898,-1.0,-1.0,-1.0,-1.0,0.06666667014360428,-1.0,0.9849477410316467,-1.0,0.5,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,0.25,0.2857142984867096,0.6729517579078674,-1.0,0.9828560948371887,-1.0,-1.0,-1.0,-1.0,0.03703703731298447,-1.0,0.9726348519325256,-1.0,0.5,-1.0,-1.0
